(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
2021-05-07:17,매우나쁨,682,매우나쁨,127,좋음,0.03,좋음,0.018,좋음,0.4,좋음,0.003
2021-05-07:16,매우나쁨,675,매우나쁨,123,좋음,0.028,좋음,0.017,좋음,0.4,좋음,0.002
2021-05-07:15,매우나쁨,670,매우나쁨,120,좋음,0.027,좋음,0.014,좋음,0.4,좋음,0.002
2021-05-07:14,매우나쁨,534,매우나쁨,93,,,,,,,,
2021-05-07:13,매우나쁨,310,나쁨,52,,,,,,,,
2021-05-07:12,나쁨,140,보통,31,보통,0.032,좋음,0.019,좋음,0.4,좋음,0.003
2021-05-07:11,나쁨,85,보통,30,좋음,0.029,좋음,0.024,좋음,0.5,좋음,0.003
2021-05-07:10,보통,77,보통,22,좋음,0.027,보통,0.034,좋음,0.5,좋음,0.003
2021-05-07:09,보통,73,보통,18,좋음,0.03,보통,0.035,좋음,0.5,좋음,0.003
2021-05-07:08,보통,71,보통,18,보통,0.031,보통,0.036,좋음,0.3,좋음,0.002
2021-05-07:07,보통,72,보통,17,보통,0.035,보통,0.031,좋음,0.3,좋음,0.003
2021-05-07:06,보통,67,보통,18,보통,0.038,좋음,0.023,좋음,0.3,좋음,0.003
2021-05-07:05,보통,68,보통,19,좋음,0.023,보통,0.033,좋음,0.5,좋음,0.003
2021-05-07:04,보통,64,보통,18,좋음,0.022,보통,0.036,좋음,0.5,좋음,0.003
2021-05-07:03,보통,68,보통,18,좋음,0.022,보통,0.034,좋음,0.4,좋음,0.002
2021-05-07:02,보통,66,보통,18,좋음,0.025,보통,0.034,좋음,0.4,좋음,0.003
2021-05-07:01,보통,68,보통,19,좋음,0.023,보통,0.041,좋음,0.4,좋음,0.002
2021-05-06:24,보통,66,보통,18,좋음,0.021,보통,0.048,좋음,0.5,좋음,0.003
2021-05-06:23,보통,65,보통,20,좋음,0.022,보통,0.05,좋음,0.5,좋음,0.004
2021-05-06:22,보통,56,보통,17,보통,0.041,좋음,0.029,좋음,0.5,좋음,0.004
2021-05-06:21,보통,59,보통,19,보통,0.048,좋음,0.027,좋음,0.4,좋음,0.003
2021-05-06:20,보통,65,보통,20,보통,0.052,좋음,0.027,좋음,0.5,좋음,0.003
2021-05-06:19,보통,65,보통,19,보통,0.056,좋음,0.025,좋음,0.4,좋음,0.003
2021-05-06:18,보통,64,보통,19,보통,0.06,좋음,0.022,좋음,0.4,좋음,0.003
2021-05-06:17,나쁨,87,보통,27,보통,0.072,좋음,0.017,좋음,0.4,좋음,0.003
2021-05-06:16,나쁨,97,보통,32,보통,0.073,좋음,0.021,좋음,0.5,좋음,0.004
2021-05-06:15,나쁨,97,보통,33,보통,0.071,좋음,0.021,좋음,0.5,좋음,0.003
2021-05-06:14,나쁨,84,보통,25,보통,0.058,좋음,0.026,좋음,0.5,좋음,0.004
2021-05-06:13,보통,80,보통,20,보통,0.046,좋음,0.028,좋음,0.4,좋음,0.003
2021-05-06:12,보통,72,보통,16,보통,0.031,보통,0.032,좋음,0.4,좋음,0.003
2021-05-06:11,보통,79,좋음,15,좋음,0.023,보통,0.034,좋음,0.5,좋음,0.003
2021-05-06:10,나쁨,86,좋음,12,좋음,0.019,보통,0.038,좋음,0.5,좋음,0.003
2021-05-06:09,나쁨,87,좋음,15,좋음,0.012,보통,0.043,좋음,0.6,좋음,0.004
2021-05-06:08,보통,74,좋음,15,좋음,0.012,보통,0.04,좋음,0.5,좋음,0.003
2021-05-06:07,보통,68,보통,16,좋음,0.007,보통,0.041,좋음,0.5,좋음,0.003
2021-05-06:06,보통,67,보통,16,좋음,0.009,보통,0.037,좋음,0.5,좋음,0.002
2021-05-06:05,보통,70,보통,17,좋음,0.012,보통,0.034,좋음,0.5,좋음,0.003
2021-05-06:04,보통,68,보통,16,좋음,0.018,좋음,0.027,좋음,0.4,좋음,0.003
2021-05-06:03,보통,72,보통,17,좋음,0.018,좋음,0.027,좋음,0.4,좋음,0.003
2021-05-06:02,보통,66,보통,16,좋음,0.019,좋음,0.028,좋음,0.4,좋음,0.003
2021-05-06:01,보통,73,보통,18,좋음,0.015,보통,0.035,좋음,0.4,좋음,0.002
2021-05-05:24,보통,78,보통,17,좋음,0.022,보통,0.033,좋음,0.4,좋음,0.002
2021-05-05:23,나쁨,84,보통,18,보통,0.039,좋음,0.021,좋음,0.4,좋음,0.002
2021-05-05:22,보통,78,보통,16,보통,0.04,좋음,0.02,좋음,0.4,좋음,0.003
2021-05-05:21,보통,79,보통,17,보통,0.042,좋음,0.019,좋음,0.4,좋음,0.003
2021-05-05:20,보통,80,보통,16,보통,0.04,좋음,0.02,좋음,0.4,좋음,0.002
2021-05-05:19,보통,69,보통,16,보통,0.039,좋음,0.016,좋음,0.3,좋음,0.002
2021-05-05:18,보통,63,좋음,13,보통,0.038,좋음,0.014,좋음,0.3,좋음,0.002
2021-05-05:17,보통,69,좋음,13,보통,0.037,좋음,0.013,좋음,0.3,좋음,0.003
2021-05-05:16,보통,68,좋음,11,보통,0.043,좋음,0.011,좋음,0.3,좋음,0.003
2021-05-05:15,보통,52,좋음,11,보통,0.045,좋음,0.008,좋음,0.3,좋음,0.003
2021-05-05:14,보통,49,좋음,15,보통,0.05,좋음,0.009,좋음,0.4,좋음,0.002
2021-05-05:13,보통,55,보통,16,보통,0.049,좋음,0.009,좋음,0.4,좋음,0.002
2021-05-05:12,보통,55,보통,16,보통,0.046,좋음,0.009,좋음,0.4,좋음,0.003
2021-05-05:11,보통,51,보통,17,보통,0.042,좋음,0.013,좋음,0.4,좋음,0.003
2021-05-05:10,좋음,26,좋음,10,보통,0.036,좋음,0.015,좋음,0.4,좋음,0.003
2021-05-05:09,좋음,18,좋음,10,좋음,0.03,좋음,0.019,좋음,0.4,좋음,0.002
2021-05-05:08,좋음,15,좋음,8,좋음,0.029,좋음,0.017,좋음,0.4,좋음,0.002
2021-05-05:07,좋음,16,좋음,8,좋음,0.023,좋음,0.022,좋음,0.4,좋음,0.002
2021-05-05:06,좋음,13,좋음,7,좋음,0.03,좋음,0.011,좋음,0.4,좋음,0.002
2021-05-05:05,좋음,14,좋음,7,보통,0.033,좋음,0.006,좋음,0.4,좋음,0.002
2021-05-05:04,좋음,11,좋음,6,보통,0.034,좋음,0.005,좋음,0.4,좋음,0.002
2021-05-05:03,좋음,17,좋음,9,보통,0.036,좋음,0.005,좋음,0.3,좋음,0.002
2021-05-05:02,보통,41,좋음,13,보통,0.034,좋음,0.007,좋음,0.3,좋음,0.002
2021-05-05:01,좋음,29,좋음,8,보통,0.037,좋음,0.007,좋음,0.3,좋음,0.002
2021-05-04:24,좋음,8,좋음,4,보통,0.031,좋음,0.01,좋음,0.4,좋음,0.003
2021-05-04:23,좋음,9,좋음,3,좋음,0.022,좋음,0.016,좋음,0.4,좋음,0.002
2021-05-04:22,보통,39,보통,25,좋음,0.008,보통,0.038,좋음,0.6,좋음,0.003
2021-05-04:21,보통,65,나쁨,42,좋음,0.002,보통,0.052,좋음,0.8,좋음,0.003
2021-05-04:20,보통,62,나쁨,42,좋음,0.003,보통,0.057,좋음,1,좋음,0.004
2021-05-04:19,보통,49,보통,31,좋음,0.003,보통,0.054,좋음,0.8,좋음,0.003
2021-05-04:18,보통,52,보통,27,좋음,0.004,보통,0.051,좋음,0.7,좋음,0.003
2021-05-04:17,보통,59,보통,26,좋음,0.006,보통,0.05,좋음,0.6,좋음,0.003
2021-05-04:16,보통,52,보통,28,좋음,0.006,보통,0.051,좋음,0.6,좋음,0.003
